Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
533,AL,AK,KVL,Kivalina,Kivalina,GA,None,2185,1898,0.1512
534,AL,AK,Z09,Kasigluk,Kasigluk,GA,None,2171,1303,0.6662
536,AL,AK,SVA,Savoonga,Savoonga,GA,None,2121,1824,0.1628
537,AL,AK,A43,Taku Harbor,Taku Harbor,GA,None,2111,1428,0.4783
541,AL,AK,HLA,Huslia,Huslia,GA,None,2020,4382,-0.539
542,AL,AK,OOK,Toksook Bay,Toksook Bay,GA,None,2001,1723,0.1613
543,AL,AK,GAM,Gambell,Gambell,GA,None,1963,1707,0.15
545,AL,AK,AQT,Nuiqsut,Nuiqsut,GA,None,1947,1317,0.4784
546,AL,AK,A61,Tuntutuliak,Tuntutuliak,GA,None,1942,1670,0.1629
550,AL,AK,DUY,Kongiganak,Kongiganak,GA,None,1901,1371,0.3866
552,AL,AK,SDP,Sand Point,Sand Point,GA,None,1874,1176,0.5935
553,AL,AK,2A9,Kotlik,Kotlik,GA,None,1844,1259,0.4647
554,AL,AK,0AK,Pilot Station,Pilot Station,GA,None,1843,1109,0.6619
555,AL,AK,AGN,Angoon,Angoon,GA,None,1839,1171,0.5705
560,AL,AK,KTS,Brevig Mission,Brevig Mission,GA,None,1785,1602,0.1142
564,AL,AK,KNW,New Stuyahok,New Stuyahok,GA,None,1758,1250,0.4064
565,AL,AK,IAN,Kiana,Bob Baker Memorial,GA,None,1735,1756,-0.012
566,AL,AK,NUL,Nulato,Nulato,GA,None,1724,976,0.7664
567,AL,AK,5KE,Ketchikan,Ketchikan Harbor,GA,None,1723,1392,0.2378
571,AL,AK,CFK,Chefornak,Chefornak,GA,None,1672,1587,0.0536
572,AL,AK,WBB,Stebbins,Stebbins,GA,None,1664,1650,0.0085
574,AL,AK,05K,Port Alsworth,Wilder Runway,GA,None,1644,0,0
576,AL,AK,ORI,Port Lions,Port Lions,GA,None,1637,1227,0.3341
577,AL,AK,PEC,Pelican,Pelican,GA,None,1637,809,1.0235
579,AL,AK,4A2,Atmautluak,Atmautluak,GA,None,1621,1057,0.5336
582,AL,AK,16A,Nunapitchuk,Nunapitchuk,GA,None,1564,1006,0.5547
585,AL,AK,Z13,Akiachak,Akiachak,GA,None,1535,1080,0.4213
586,AL,AK,SNP,Saint Paul Island,St Paul Island,GA,None,1533,652,1.3512
587,AL,AK,TLT,Tuluksak,Tuluksak,GA,None,1511,834,0.8118
588,AL,AK,ELI,Elim,Elim,GA,None,1501,1469,0.0218
589,AL,AK,BTT,Bettles,Bettles,GA,None,1485,758,0.9591
